r1: 0.21170163390532185, angle1: 3.193632576912213, angle2: 182.4577473969736, length: 1.3601229336984515
r1: 0.21630104110750262, angle1: 15.881321716234737, angle2: 192.24512851521814, length: 1.511468908333569
r1: 0.22668997651478623, angle1: 27.852300604415923, angle2: 201.31618919884662, length: 1.703206808639047
r1: 0.2420450032976241, angle1: 38.700819274392835, angle2: 209.2651731245281, length: 1.9315649408632338
r1: 0.2613213009714349, angle1: 48.27178619963638, angle2: 215.93698254635007, length: 2.1899049711850305
r1: 0.2834796243062473, angle1: 56.60051264671382, angle2: 221.36692264473072, length: 2.4705330374051
r1: 0.30761720378434604, angle1: 63.82300927668899, angle2: 225.6909981242852, length: 2.7661011774731468
r1: 0.33301050075715927, angle1: 70.1073190191051, angle2: 229.0772460843849, length: 3.070326152633828
r1: 0.3591068698578876, angle1: 75.61574284748735, angle2: 231.68796179134537, length: 3.3781826838926845
r1: 0.3854961576890805, angle1: 80.48939297277796, angle2: 233.66425186864882, length: 3.685815885388708
r1: 0.4118793193949941, angle1: 84.84481696411707, angle2: 235.12265841461263, length: 3.9903488259109037
r1: 0.43804100266565144, angle1: 88.77588640768987, angle2: 236.15704765822093, length: 4.289677534171112
r1: 0.46382782622017144, angle1: 92.35738897894478, angle2: 236.8422020284189, length: 4.582290993241626
r1: 0.4891319567540383, angle1: 95.64873970573898, angle2: 237.2375314144251, length: 4.867125877258084
r1: 0.5138789681281848, angle1: 98.69722756321923, angle2: 237.39031975786415, length: 5.143454144150243
r1: 0.538018951446986, angle1: 101.54066097021254, angle2: 237.338370546493, length: 5.410797882464669
r1: 0.5615200204717822, angle1: 104.20945130915547, angle2: 237.11209033154694, length: 5.668865449198799
r1: 0.5843635584428841, angle1: 106.72822746799265, angle2: 236.73610326713066, length: 5.917503751672463
r1: 0.6065407253294056, angle1: 109.11707878531475, angle2: 236.23049405292545, length: 6.156662594097314
r1: 0.6280498780456255, angle1: 111.39251095359165, angle2: 235.61176383506245, length: 6.3863679858217495
r1: 0.6488946544114554, angle1: 113.56818284250912, angle2: 234.89356702716995, length: 6.606702098719766
